[0.00s -> 6.28s]  How do the Norwich players feel at this point, Jerry? Excited, nervous?
[6.28s -> 10.72s]  Absolutely loving it because the fans will be right behind them, that'll settle their nerves down.
[10.72s -> 15.08s]  They all want first touches, give it to a yellow shirt and get in the game early on.
[15.08s -> 18.16s]  Jamal Lewis up against Bernardo Silva looks...
[18.16s -> 19.88s]  Wow, that looks a problem, that one does.
[19.88s -> 22.48s]  Wicall Walker backing him up, that right-hand side.
[22.48s -> 26.80s]  The game's started and Norwich City are playing the ball confidently away from the edge of their own penalty area.
[26.84s -> 30.16s]  At the Barkley end, eventually Jamal Lewis's clearance is charged out,
[30.16s -> 32.32s]  and Ben Godfrey does clear it towards the halfway line.
[32.32s -> 38.24s]  Norwich in yellow and green, Manchester City all in black here, not in their usual sky blue coloured kit.
[38.24s -> 42.44s]  But Norwich City enjoy plenty of the ball early on, albeit deep inside their own half,
[42.44s -> 46.24s]  as they defend the Barkley end going from right to left as we look at it.
[46.24s -> 48.24s]  And the ball goes back to Tim Crewe.
[48.24s -> 52.76s]  And I'm sure Daniel Falk will be relieved, his experience absolutely vital today.
[52.84s -> 55.32s]  He's played it long, it's a Campwell who can't quite control,
[55.32s -> 60.36s]  and Manchester City can get a foot on the ball for the first time with their defender Nicholas Ottomendi.
[60.36s -> 62.36s]  And back it goes to Ederson, the goalkeeper.
[62.36s -> 65.40s]  A few questions about the Manchester City defence at the moment with La Porte,
[65.40s -> 69.08s]  their best defender being ruled out, almost in a Norwich City style really.
[69.08s -> 73.24s]  He's going to be missing for quite a few months, so the opportunity knocks for John Stones,
[73.24s -> 76.60s]  the England defender who's been out of favour under Pep Guardiola recently,
[76.60s -> 77.80s]  and he gets his chance today.
[77.80s -> 81.92s]  The ball is sprayed to the right wing and Kyle Walker, we see him setting off for the first time.
[81.96s -> 84.60s]  Campwell's got back and got the foot in, and that was important,
[84.60s -> 87.40s]  but then Jamal Lewis fails to give the ball back to Campwell,
[87.40s -> 90.68s]  and Manchester City have possession inside Norwich territory.
[91.28s -> 95.96s]  Teddy, already you can see him waving, shouting, trying to organise that team in the midfield.
[95.96s -> 97.20s]  He's the captain today.
[97.84s -> 103.72s]  Stones for Manchester City on halfway, looking for Aguero who gets involved in the game for the first time,
[103.72s -> 106.40s]  back on the halfway line, he's dropped deep to get involved.
[106.40s -> 111.28s]  Norwich giving everybody back behind the ball in these early stages as you might expect.
[111.36s -> 116.64s]  It's back on halfway with Ottomendi and now Stones, who enters the Norwich City half.
[116.64s -> 118.32s]  Pukki goes to close him down.
[118.32s -> 121.68s]  Aguero works the ball around the corner, Manchester City building a threatening attack here.
[121.68s -> 125.00s]  They've got Raheem Sterling involved on the left-hand side in the penalty area.
[125.00s -> 128.64s]  Comes back out to David Silva, who weaves his way past Teddy, tries across,
[128.64s -> 131.80s]  Buendia gets the foot in, that's important, it's gone for a corner.
[131.80s -> 135.52s]  Byram tried to keep the ball in play, actually that might not have been a very good idea
[135.52s -> 138.84s]  because it was going to fall for Manchester City in an attacking area,
[138.88s -> 141.56s]  but Byram hadn't managed to keep it in play.
[141.56s -> 145.76s]  It will be a Man City corner and a test of concentration here, first set piece of the game.
[145.76s -> 148.48s]  Definitely set of concentration, focus.
[148.48s -> 152.24s]  Send Byram on Raheem Sterling, he's got to get very, very close to that player,
[152.24s -> 155.08s]  we know what he can do, how dangerous he can be.
[155.08s -> 158.60s]  So a corner, looks like Gundogan is going to go across the tape.
[158.60s -> 162.24s]  The German international from the left-hand side, in front of the Barclay end for Manchester City,
[162.24s -> 165.92s]  who imagine their first serious attack of the game, it's driven in towards the near post point,
[165.96s -> 170.16s]  Buendia got a foot on it, headed down, and Krul is able to catch it gratefully.
[170.16s -> 175.00s]  Buendia actually got there at the near post, but all he could do was help the ball on its way into the middle,
[175.00s -> 178.24s]  and it was slightly awkward there, with a scrum of players in front of Krul,
[178.24s -> 180.12s]  but nobody got a decent contact on it.
[180.12s -> 182.56s]  It's going to be hard for Man City to get his head on the ball there,
[182.56s -> 188.56s]  we had 11 players inside the 18-yard box, very determined Norwich now to keep compact.
[188.56s -> 191.40s]  When they play, they look like they're getting wide, they're getting width,
[191.40s -> 195.56s]  the playing were confident so far, so they've eased into this game nicely.
[195.64s -> 198.04s]  The ball's gone back to Tim Krul, the Norwich goalkeeper,
[198.04s -> 200.04s]  who clears his lines comfortably there.
[200.04s -> 203.96s]  Bounces into the midfield now, and Steeperman collects for Norwich City.
[203.96s -> 208.28s]  They use the ball well, Norwich City, when they have it, and they don't use the ball well there.
[208.28s -> 211.80s]  Steeperman looking for Jamal Lewis, but it was a yard or two too far in front of him,
[211.80s -> 215.16s]  and it's rolled out for a throw-in, and that's one thing they can't do today, I know it's obvious,
[215.16s -> 221.48s]  but when you've got it, letting Manchester City have it back easily, you cannot do that very often, can you?
[222.20s -> 225.96s]  Interesting to see whether Norwich would adapt a high-press game, they're obviously not doing so,
[225.96s -> 229.56s]  they're getting compact and behind the ball, making Manchester City work,
[229.56s -> 233.32s]  the spaces for them to be showing danger, but no, they cannot give the ball away.
[233.32s -> 237.16s]  When they get it, Norwich have to keep it, and that's where the confidence comes from,
[237.16s -> 241.16s]  maintaining possession, and we know how good they are, Norwich are keeping the ball, they've got to do it today.
[241.16s -> 244.76s]  Almost a mistake by Artemendi at the back there, Steeperman sensed the chance to close him down,
[244.76s -> 248.36s]  but Artemendi just got away from him in time, the ball is now played back to Edison,
[248.44s -> 252.36s]  he's been closed down by Buendia, he's 25 yards from his own goal here, the Manchester City keeper,
[252.36s -> 257.08s]  but he's comfortable in possession, he's given it to Zinchenko, it was just a split second where it
[257.08s -> 261.64s]  looked like Buendia may steal the ball there, but we know how good Edison, the Brazilian goalkeeper,
[261.64s -> 267.64s]  is on the ball, that very vivid neck tattoo that he's got is visible, written from all the way up
[267.64s -> 272.52s]  here on the gantry in the south stand, nil-nil, Manchester City, as you would expect, enjoying the
[272.52s -> 276.76s]  lion's share of the possession at Carra Rhodes, Zinchenko playing the ball out to the left-hand side,
[276.84s -> 280.60s]  there's some space out there for Bernardo Silva, he's tried to work the ball into the penalty area,
[280.60s -> 284.36s]  David Silva I should say, sorry, and it's come off a Norwich player, he's gone out for a throw into
[284.36s -> 290.04s]  Manchester City, level with the Norwich penalty area, nil-nil, you can really sense the nerves
[290.04s -> 293.64s]  around Carra Rhodes ahead of this one, of course there's excitement as well, but
[294.68s -> 298.20s]  Norwich saw against Liverpool in the opening day of the season in that devastating first half,
[298.84s -> 302.36s]  and Norwich actually didn't play that badly, but still found themselves 4-0 down,
[303.24s -> 306.04s]  great noise inside Carra Rhodes, the fans certainly doing their bit,
[306.68s -> 311.80s]  Otamendik coming forward from Manchester City, the ball played out to the left-hand side and
[311.80s -> 316.76s]  Zinchenko, and then lovely bit of skill and a little return pass and Zinchenko's away on the
[316.76s -> 320.44s]  left-hand side, Byron should make the challenge here though, after a heavy touch from Zinchenko,
[320.44s -> 324.76s]  Byron does make the challenge, and wins a free kick as well in the right-back position, and there's
[324.76s -> 329.48s]  applause for the former West Ham player, and that's the thing, it's a shame that Max Arons is missing
[329.48s -> 333.96s]  because of injury, but Norwich knew they lacked cover in that position, they knew that might happen
[333.96s -> 338.52s]  at some point in the season, and they got Byron in in the summer for just this sort of thing,
[338.52s -> 342.36s]  so they are covering that position. I mean he did very very well there as well, he'll be feeling a
[342.36s -> 346.92s]  lot better now, he's got his first tackle in, he's got the crowd cheering him, what's important down
[346.92s -> 352.04s]  that right-hand side is that Bondier and Byron work together so closely and so well, they've got to go
[352.04s -> 356.68s]  with runners, they've got to force the ball wide, then they've got to close to stop crosses coming in.
[357.40s -> 362.52s]  More nil, Norwich want to throw it, halfway inside the Manchester City half, and even that is being
[362.52s -> 367.48s]  applauded by the supporters at the moment. Steeperman gets a touch, Manchester go past one man City
[367.48s -> 371.24s]  player, but then the ball is hit back rather fiercely to goalkeeper Edison, who just nonchalantly
